created_at,tweet_id,tweet_text,screen_name,name
2020-12-02 15:14:04,1334153870717677568,"@BMW A, de en sus, de su cara xx Z es de e,s https://t.co/Uqbv6uVh2z",fabio1949,Fabio Insfran
2020-12-02 15:13:16,1334153667344277504,"@MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports Should’ve called @JensonButton back, then...",Swoosh1968,Gary
2020-12-02 15:12:58,1334153590525599748,RT @MercedesAMGF1: Crazy stat alert! 🤯 The #SakhirGP will be the first time in the 225 @F1 Grand Prix that @MercedesBenz has entered that t…,sth_profound,T'Chakalaka💮
2020-12-02 15:12:55,1334153580387983360,"RT @MercedesBenz: It's not just an eye-catcher in any room, but it will also help you stay on track all year long – the new Mercedes-AMG 20…",UsmanMu79813,MUHAMMAD USMAN💵💰🥰
2020-12-02 15:11:50,1334153306743087104,"@MercedesBenz You dont want to leave any alphabets ??
GLA, GLB,GLC,GLE,GLS . is next version is GLF.. G..H..I..",thrivikram517,Thrivikram
2020-12-02 15:11:38,1334153255803252737,"RT @benjaminhgordon: Are #selfdriving cars really coming? When will they arrive? What are the insights from leaders in this field?
@tesla @…",LogisticsStuff,Supply Chain Automation
2020-12-02 15:11:07,1334153125557624832,"In my mind, this was always going to be the solution, but now we need Industry Standards across carmakers to make i… https://t.co/H1sMXDvxgO",Badbitcoinorg,MyBrainHz
2020-12-02 15:10:47,1334153043005353986,RT @Audi: @MrKizmo Hello there. We welcome you to DM us if we can be of assistance.,SheriYLewis00,Sheri
2020-12-02 15:10:21,1334152933852794882,"RT @BMW: Did you know? You will receive BMW Operating System 7 as an over-the-air Remote Software Upgrade.

Rolled out to more than 750,000…",Amirato80,Omar Ennaifar
2020-12-02 15:09:23,1334152689819803648,@Createxx93 @MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports Russel has completely outdriven the Williams. What on… https://t.co/Bwsf7HUCe9,selnor1983,Richard Loveridge
2020-12-02 15:08:58,1334152586673401856,"RT @MercedesBenz: Finally a Mercedes that matches your ugly sweater. Decent gift. But this year, more than ever,  #TheGreatestGift is healt…",UsmanMu79813,MUHAMMAD USMAN💵💰🥰
2020-12-02 15:07:38,1334152249082306560,@MrKizmo Hello there. We welcome you to DM us if we can be of assistance.,Audi,Audi USA
2020-12-02 15:07:06,1334152116768624641,@selnor1983 @Bibococo1 @MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports Except he is not. Is he?,aadarshf1,Aadarsh
2020-12-02 15:07:01,1334152095591698443,"RT @MercedesBenz: It's not just an eye-catcher in any room, but it will also help you stay on track all year long – the new Mercedes-AMG 20…",jakehub007,JACO3 | Omo Iya Nurse👩‍⚕️👶
2020-12-02 15:06:30,1334151965144715266,"👍Our overhead teams have some new kit!

Our new @MercedesBenz Unimogs are helping us maintain and improve power equ… https://t.co/eNHuodJ53v",powergridnews,Powergrid News
2020-12-02 15:06:30,1334151963794149378,One thing is certain.....@MercedesBenz can never get me to buy another of their vehicles......,MrJSGibson,John Gibson
2020-12-02 15:06:14,1334151899860373510,@Daimler @MercedesBenz Design Mercedes-Benz S-Class is the very bad,ebay1975,Ebay1975
2020-12-02 15:06:06,1334151865978777603,@MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports You still have the second best driver in F1. Go team Bottas 💪💪💪,Chris92272382,Chris
2020-12-02 15:05:58,1334151832575340544,@aadarshf1 @Bibococo1 @MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports Considering hes behind Max in the rankings. Lol.,selnor1983,Richard Loveridge
2020-12-02 15:05:45,1334151775495000067,RT @Daimler: .@Daimler Truck AG &amp; #Foton to start joint production of @MercedesBenz Trucks in China: The collaborative venture will produce…,ebay1975,Ebay1975
2020-12-02 15:05:17,1334151659166031873,@BerreFreeTibet @MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports @svandoorne Acrually hes called the test driver.… https://t.co/RiZJC1St8r,selnor1983,Richard Loveridge
2020-12-02 15:02:47,1334151031807225861,@MercedesBenz #Great#,BozidarLackano4,Bozidar Lackanovic
2020-12-02 15:02:34,1334150974898888704,A volte i desideri si avverano. #AudiTTRS📸@Audi https://t.co/ukoPApDoSz,AudiIT,Audi Italia
2020-12-02 15:02:33,1334150971648323586,"RT @MercedesBenz: It's not just an eye-catcher in any room, but it will also help you stay on track all year long – the new Mercedes-AMG 20…",IamBigman69,Senator Bigman
2020-12-02 15:02:18,1334150910289846277,"RT @MercedesBenz: More dynamic design, sporty aura and next generation driving assistance systems. 

Learn more about the new E-Class here:…",gitaauofficial,Kinuthia✌🏽
2020-12-02 15:02:06,1334150856875315200,@MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports oh no Valtteri.. https://t.co/GyHG1CVPfE,earthlybump,earthlybump
2020-12-02 15:02:03,1334150843667460098,RT @Daimler: .@Daimler Truck AG &amp; #Foton to start joint production of @MercedesBenz Trucks in China: The collaborative venture will produce…,MazwaneMoses,Mnikelo Moses
2020-12-02 15:01:17,1334150651295784960,@MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports He will be back soon our champ Get well soon,onsinyojean,kwamboka martin
2020-12-02 15:00:53,1334150549755879424,"RT @MercedesBenz: It's not just an eye-catcher in any room, but it will also help you stay on track all year long – the new Mercedes-AMG 20…",motorsport_ab,ABMotorsport
2020-12-02 15:00:43,1334150511642238981,@MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports 🙏🏾🙏🏾,onsinyojean,kwamboka martin
2020-12-02 15:00:37,1334150485406695425,"RT @MercedesBenz: It's not just an eye-catcher in any room, but it will also help you stay on track all year long – the new Mercedes-AMG 20…",rahulroyy003,Yadav Rahul
2020-12-02 15:00:10,1334150372844331009,"It's not just an eye-catcher in any room, but it will also help you stay on track all year long – the new Mercedes-… https://t.co/aRcvxq5eZO",MercedesBenz,Mercedes-Benz
2020-12-02 15:00:08,1334150363801395202,.@Daimler Truck AG &amp; #Foton to start joint production of @MercedesBenz Trucks in China: The collaborative venture w… https://t.co/hPdXusQjt2,Daimler,Daimler AG
2020-12-02 15:00:00,1334150330410434561,"@MercedesBenz O dear god , legendary g-wagon got unexpected painting job . Line is ""ugly sweater"" . 
Hahaha. Why mercedes why ?",thrivikram517,Thrivikram
2020-12-02 14:58:11,1334149871792779267,@BMW I’m utterly disgusted by the service I have received!!!! I want to make a formal complaint - please make contact,HouseMerrywood,Merrywood House School
2020-12-02 14:58:00,1334149824594255873,@MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports A future world champion is though,panicpinky,RyanCheetham
2020-12-02 14:57:35,1334149721909325826,Retweeting Mercedes Benz  everyday until the day I buy one. 2026 @MercedesBenz.,gitaauofficial,Kinuthia✌🏽
2020-12-02 14:57:25,1334149678854778880,"@TUAKAP_2905 @MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports If Hulkenberg would race for red bull next year, and… https://t.co/IKAWpqMOMJ",Schkotie,Schkotie
2020-12-02 14:56:45,1334149510348599298,@Audi The front grill is like... https://t.co/3y2pKO1ymG,RealityTC,RealityTC
2020-12-02 14:56:18,1334149399585427457,@Audi @Audi  can it reverse last 100+ like the BMW park assist plus.  I have long narrow driveway and wife has a ha… https://t.co/eljT8URhGq,norgehoutx,Thor
2020-12-02 14:55:44,1334149255360090114,"@MercedesAMGF1 @F1 @MercedesBenz @PET_Motorsports Technically he is a world champion, FIA F2 2018....",mcrudgington,MattC
2020-12-02 14:53:40,1334148733957713925,@frankfeil @MercedesBenz_DE @MB_Press @MercedesBenz Sieht schon krass geil aus. 👌🏼,karu5o,karu5o
2020-12-02 14:52:32,1334148450309582856,RT @MercedesAMGF1: Crazy stat alert! 🤯 The #SakhirGP will be the first time in the 225 @F1 Grand Prix that @MercedesBenz has entered that t…,rnaudmeunier,Florenzo vs. Arnaud Meunier
2020-12-02 14:51:12,1334148116463939586,RT @MercedesAMGF1: Crazy stat alert! 🤯 The #SakhirGP will be the first time in the 225 @F1 Grand Prix that @MercedesBenz has entered that t…,JS2Tango,Matt
